Index	Abbreviation	Full_Name	First_Level	Last_Level	Color
0	Unknown	Unknown	1	6	#C0C0C0
1	Frontal	Frontal_Lobe	1	1	#FFA6BC
2	ACgG	anterior_cingulate_gyrus	2	2	#DE0016
3	ACC	anterior_cingulate_cortex	3	3	#9E0032
4	area_32	area_32	4	6	#803951
5	area_25	subgenual_cortex	4	6	#801D46
6	area_24	area_24	4	4	#BF0026
7	area_24a/b	areas_24a_and_24b	5	5	#800035
8	area_24a	area_24a	6	6	#BF2C3B
9	area_24b	area_24b	6	6	#FF73A2
10	area_24c	area_24c	5	6	#FF8CB3
11	MCC	midcingulate_cortex	3	4	#801D4E
12	area_24a/b_prime	areas_24a'_and_24b'	5	5	#FF3B9D
13	area_24a_prime	area_24a'	6	6	#FF8CCF
14	area_24b_prime	area_24b'	6	6	#FFA6CF
15	area_24c_prime	area_24c'	5	6	#FFA6E7
16	OFC	orbital_frontal_cortex	2	2	#FFBFDE
17	med_OFC	medial_orbital_frontal_cortex	3	3	#FF73E5
18	area_10	frontal_pole	4	5	#D4007B
19	area_10mr	rostral_medial_frontal_pole	6	6	#800073
20	area_10mc	caudal_medial_frontal_pole	6	6	#BF2C82
21	area_10o	orbital_frontal_pole	6	6	#FF3B6C
22	area_14	gyrus_rectus	4	5	#803973
23	area_14r	rostral_gyrus_rectus	6	6	#FFA6EF
24	area_14c	caudal_gyrus_rectus	6	6	#801D7E
25	lat_OFC	lateral_orbital_frontal_cortex	3	3	#770080
26	areas_11/13	areas_11_and_13	4	4	#BF008F
27	area_11	area_11	5	5	#FF3BFC
28	area_11m	medial_area_11	6	6	#F78CFF
29	area_11l	lateral_area_11	6	6	#E48CFF
30	area_13	area_13	5	5	#4F0080
31	area_13a/b	areas_13a_and_13b	6	6	#D900E8
32	area_13m	medial_area_13	6	6	#8A27A8
33	area_13l	lateral_area_13	6	6	#FF3BEB
34	area_12m/o	medial_and_orbital_area_12	4	5	#D573FF
35	area_12m	medial_area_12	6	6	#650094
36	area_12o	orbital_area_12	6	6	#B700D4
37	caudal_OFC	caudal_orbital_frontal_cortex	3	3	#5A1D80
38	OFa-p	agranular_orbitofrontal_cortex	4	4	#7B00A8
39	Iam/Iapm	medial_agranular_insular_region	5	6	#9900BF
40	lat_Ia	lateral_agranular_insular_region	5	5	#C931D4
41	Iai	intermediate_agranular_insula_area	6	6	#6A3980
42	Ial	lateral_agranular_insula_area	6	6	#DD8CFF
43	Iapl	posterior_lateral_agranular_insula_area	6	6	#EDA6FF
44	OLF	primary_olfactory_cortex	4	5	#FF00E6
45	AON/TTv	anterior_olfactory_cortex	6	6	#9300BF
46	OT/Pir	posterior_olfactory_cortex	6	6	#521D80
47	cl_OFC	caudolateral_orbitofrontal_cortex	4	4	#A33BFF
48	G	gustatory_cortex	5	6	#C08CFF
49	PrCO	precentral_operular_area	5	6	#A673FF
50	lat_PFC	lateral_prefrontal_cortex	2	2	#391D80
51	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	3	5	#F23BFF
52	area_8Ad	dorsal_periarcuate_area_8A	6	6	#533980
